,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.312722384929657,1.3977460861206055,2465.0,47644.0,46108.3125
Beneixama,0.8229496479034424,0.7663146257400513,1476.0,12974.0,13117.330078125
Beniarda,0.4551469385623932,1.0183340311050415,31388.0,13611.0,13721.2109375
Bolulla,0.8409363031387329,0.7391944527626038,10400.0,134.0,2158.509765625
Carcaixent,0.7915183901786804,0.8147833943367004,1032.0,12744.0,12771.4599609375
Chella,0.7583763599395752,0.8622499704360962,315.0,16044.0,16046.390625
Gatova,0.6933337450027466,0.9392014741897583,1447.0,18943.0,19098.669921875
Llutxent,0.652424693107605,0.9861035943031311,2290.0,21310.0,21931.51953125
Montan,0.724083662033081,0.8875303864479065,5225.0,14069.0,14053.6884765625
ValldEbo,0.6774061918258667,0.8932117819786072,13026.0,10566.0,10742.9296875
VallGallinera,0.24920892715454102,1.474656105041504,1176.0,50318.0,49323.5078125
Total,0.6343733857978474,0.9799387184056368,6385.454545454545,19850.636363636364,19915.775390625
