,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.964026689529419,0.5927909016609192,2465.0,181.0,554.489990234375
Beneixama,0.9845114946365356,0.5705040097236633,1476.0,982.0,1017.1600341796875
Beniarda,0.5251706838607788,1.0251526832580566,31388.0,70.0,115.73999786376953
Bolulla,0.84210205078125,0.7095423340797424,10400.0,53.0,53.220001220703125
Carcaixent,0.9833759665489197,0.568450391292572,1032.0,72.0,81.30000305175781
Chella,0.9270087480545044,0.6412556767463684,315.0,4582.0,4565.43994140625
Gatova,0.942179262638092,0.6162739396095276,1447.0,2376.0,2414.8701171875
Llutxent,0.9627094864845276,0.5949229598045349,2290.0,486.0,936.4700317382812
Montan,0.9212856888771057,0.6299590468406677,5225.0,26.0,43.209999084472656
ValldEbo,0.790458619594574,0.7580704689025879,13026.0,1453.0,1480.800048828125
VallGallinera,0.981044352054596,0.570799708366394,1176.0,296.0,389.260009765625
Total,0.8930793675509366,0.661611101844094,6385.454545454545,961.5454545454545,1059.2691067782316
